div_epoch,div_step,epoch,mean_l1_norm_epoch,mean_l1_norm_step,step,train_acc_epoch,train_acc_step,train_actual_label_0,train_actual_label_1,train_actual_label_2,train_actual_label_3,train_actual_label_4,train_loss_epoch,train_loss_step_epoch,train_loss_step_step,train_pred_label_0,train_pred_label_1,train_pred_label_2,train_pred_label_3,train_pred_label_4,training_loss_epoch,training_loss_step,val_acc,val_actual_label_0,val_actual_label_1,val_actual_label_2,val_actual_label_3,val_loss,val_pred_label_0,val_pred_label_1,val_pred_label_2,val_pred_label_3
,-2.556708574295044,0,,75.0,0,,0.8461538553237915,0.0,0.0,1.0,0.0,0.0,,,8.004772186279297,0.0,0.0,1.0,1.0,0.0,,8.004772186279297,,,,,,,,,,
-2.556708812713623,,0,75.0,,0,0.8461538553237915,,,,,,,8.004772186279297,8.004772186279297,,,,,,,8.004772186279297,,,,,,,,,,,
,-2.5556657314300537,1,,75.91999816894531,1,,0.692307710647583,0.0,1.0,0.0,0.0,0.0,,,7.966175556182861,0.0,0.0,1.0,0.0,0.0,,7.966175556182861,,,,,,,,,,
-2.5556657314300537,,1,75.91999816894531,,1,0.692307710647583,,,,,,,7.966175556182861,7.966175556182861,,,,,,,7.966175556182861,,,,,,,,,,,
,-2.5552475452423096,2,,75.5440902709961,2,,0.8461538553237915,1.0,1.0,1.0,1.0,0.0,,,7.742783069610596,1.0,1.0,0.0,1.0,0.0,,7.742783069610596,,,,,,,,,,
-2.5552477836608887,,2,75.5440902709961,,2,0.8461538553237915,,,,,,,7.742783069610596,7.742783069610596,,,,,,,7.742783069610596,,,,,,,,,,,
,-2.554929494857788,3,,75.98919677734375,3,,0.8461538553237915,0.0,1.0,1.0,1.0,0.0,,,9.065839767456055,0.0,1.0,1.0,1.0,0.0,,9.065839767456055,,,,,,,,,,
-2.554929494857788,,3,75.98919677734375,,3,0.8461538553237915,,,,,,,9.065839767456055,9.065839767456055,,,,,,,9.065839767456055,,,,,,,,,,,
,-2.554844379425049,4,,75.7886734008789,4,,0.7692307829856873,1.0,0.0,1.0,1.0,1.0,,,7.9096245765686035,0.0,1.0,1.0,1.0,0.0,,7.9096245765686035,,,,,,,,,,
,,4,,,4,,,,,,,,,,,,,,,,,,0.75,0.0,0.0,1.0,1.0,25.1728515625,0.0,0.0,1.0,0.0
-2.554844379425049,,4,75.7886734008789,,4,0.7692307829856873,,,,,,,7.9096245765686035,7.9096245765686035,,,,,,,7.9096245765686035,,,,,,,,,,,
,-2.554861307144165,5,,75.5579833984375,5,,0.8461538553237915,0.0,1.0,0.0,0.0,0.0,,,7.517166614532471,0.0,1.0,0.0,0.0,1.0,,7.517166614532471,,,,,,,,,,
-2.554861307144165,,5,75.5579833984375,,5,0.8461538553237915,,,,,,,7.517166614532471,7.517166614532471,,,,,,,7.517166614532471,,,,,,,,,,,
,-2.5548956394195557,6,,75.88463592529297,6,,0.7692307829856873,0.0,1.0,0.0,1.0,1.0,,,7.410773754119873,0.0,1.0,1.0,1.0,1.0,,7.410773754119873,,,,,,,,,,
-2.5548956394195557,,6,75.88463592529297,,6,0.7692307829856873,,,,,,,7.410773754119873,7.410773754119873,,,,,,,7.410773754119873,,,,,,,,,,,
,-2.554871082305908,7,,76.2586898803711,7,,0.692307710647583,0.0,0.0,1.0,1.0,1.0,,,8.240544319152832,0.0,1.0,0.0,1.0,1.0,,8.240544319152832,,,,,,,,,,
-2.554871082305908,,7,76.2586898803711,,7,0.692307710647583,,,,,,,8.240544319152832,8.240544319152832,,,,,,,8.240544319152832,,,,,,,,,,,
,-2.554685115814209,8,,76.20637512207031,8,,0.692307710647583,0.0,1.0,0.0,1.0,0.0,,,7.921902656555176,0.0,0.0,1.0,1.0,0.0,,7.921902656555176,,,,,,,,,,
-2.554685115814209,,8,76.20637512207031,,8,0.692307710647583,,,,,,,7.921902656555176,7.921902656555176,,,,,,,7.921902656555176,,,,,,,,,,,
,-2.554399013519287,9,,75.87031555175781,9,,0.8461538553237915,1.0,1.0,1.0,1.0,0.0,,,7.209990501403809,1.0,0.0,1.0,1.0,0.0,,7.209990501403809,,,,,,,,,,
,,9,,,9,,,,,,,,,,,,,,,,,,0.75,0.0,0.0,1.0,1.0,24.15667724609375,0.0,0.0,1.0,0.0
-2.554399013519287,,9,75.87031555175781,,9,0.8461538553237915,,,,,,,7.209990501403809,7.209990501403809,,,,,,,7.209990501403809,,,,,,,,,,,
,-2.5541317462921143,10,,75.73634338378906,10,,0.8461538553237915,0.0,1.0,1.0,1.0,1.0,,,7.215980529785156,0.0,1.0,1.0,1.0,0.0,,7.215980529785156,,,,,,,,,,
-2.5541317462921143,,10,75.73634338378906,,10,0.8461538553237915,,,,,,,7.215980529785156,7.215980529785156,,,,,,,7.215980529785156,,,,,,,,,,,
,-2.5538792610168457,11,,75.93011474609375,11,,0.8461538553237915,0.0,0.0,1.0,0.0,0.0,,,7.21720027923584,0.0,0.0,1.0,0.0,0.0,,7.21720027923584,,,,,,,,,,
-2.5538792610168457,,11,75.93011474609375,,11,0.8461538553237915,,,,,,,7.21720027923584,7.21720027923584,,,,,,,7.21720027923584,,,,,,,,,,,
,-2.553640842437744,12,,76.12274169921875,12,,0.8461538553237915,1.0,0.0,0.0,1.0,0.0,,,7.208341598510742,1.0,0.0,0.0,0.0,0.0,,7.208341598510742,,,,,,,,,,
-2.553640842437744,,12,76.12274169921875,,12,0.8461538553237915,,,,,,,7.208341598510742,7.208341598510742,,,,,,,7.208341598510742,,,,,,,,,,,
,-2.5534098148345947,13,,76.2979507446289,13,,0.7692307829856873,0.0,0.0,1.0,1.0,0.0,,,7.310200214385986,0.0,0.0,1.0,1.0,0.0,,7.310200214385986,,,,,,,,,,
-2.5534098148345947,,13,76.2979507446289,,13,0.7692307829856873,,,,,,,7.310200214385986,7.310200214385986,,,,,,,7.310200214385986,,,,,,,,,,,
,-2.5532469749450684,14,,76.32858276367188,14,,0.8461538553237915,0.0,0.0,1.0,1.0,0.0,,,7.1552510261535645,0.0,0.0,1.0,1.0,0.0,,7.1552510261535645,,,,,,,,,,
,,14,,,14,,,,,,,,,,,,,,,,,,0.75,0.0,0.0,1.0,1.0,26.81640625,0.0,0.0,1.0,0.0
-2.5532469749450684,,14,76.32858276367188,,14,0.8461538553237915,,,,,,,7.1552510261535645,7.1552510261535645,,,,,,,7.1552510261535645,,,,,,,,,,,
,-2.55311918258667,15,,76.28787994384766,15,,0.8461538553237915,0.0,1.0,0.0,1.0,1.0,,,6.996571063995361,0.0,1.0,0.0,1.0,1.0,,6.996571063995361,,,,,,,,,,
-2.55311918258667,,15,76.28787994384766,,15,0.8461538553237915,,,,,,,6.996571063995361,6.996571063995361,,,,,,,6.996571063995361,,,,,,,,,,,
,-2.5529937744140625,16,,76.24812316894531,16,,0.8461538553237915,0.0,0.0,0.0,1.0,0.0,,,6.8880205154418945,0.0,0.0,0.0,1.0,0.0,,6.8880205154418945,,,,,,,,,,
-2.5529937744140625,,16,76.24812316894531,,16,0.8461538553237915,,,,,,,6.8880205154418945,6.8880205154418945,,,,,,,6.8880205154418945,,,,,,,,,,,
,-2.552870035171509,17,,76.20803833007812,17,,0.8461538553237915,1.0,0.0,0.0,1.0,0.0,,,6.777833938598633,1.0,0.0,0.0,1.0,0.0,,6.777833938598633,,,,,,,,,,
-2.552870035171509,,17,76.20803833007812,,17,0.8461538553237915,,,,,,,6.777833938598633,6.777833938598633,,,,,,,6.777833938598633,,,,,,,,,,,
,-2.5527496337890625,18,,76.16981506347656,18,,0.8461538553237915,0.0,0.0,1.0,0.0,1.0,,,6.664562702178955,0.0,0.0,1.0,0.0,1.0,,6.664562702178955,,,,,,,,,,
-2.5527496337890625,,18,76.16981506347656,,18,0.8461538553237915,,,,,,,6.664562702178955,6.664562702178955,,,,,,,6.664562702178955,,,,,,,,,,,
,-2.5526351928710938,19,,76.2267837524414,19,,0.8461538553237915,0.0,1.0,1.0,0.0,0.0,,,6.5518622398376465,0.0,1.0,1.0,0.0,0.0,,6.5518622398376465,,,,,,,,,,
,,19,,,19,,,,,,,,,,,,,,,,,,0.75,0.0,0.0,1.0,1.0,20.7445068359375,0.0,0.0,1.0,0.0
-2.5526351928710938,,19,76.2267837524414,,19,0.8461538553237915,,,,,,,6.5518622398376465,6.5518622398376465,,,,,,,6.5518622398376465,,,,,,,,,,,
,-2.5525221824645996,20,,76.42706298828125,20,,0.7692307829856873,0.0,0.0,0.0,1.0,0.0,,,6.529756546020508,0.0,0.0,1.0,1.0,0.0,,6.529756546020508,,,,,,,,,,
-2.5525221824645996,,20,76.42706298828125,,20,0.7692307829856873,,,,,,,6.529756546020508,6.529756546020508,,,,,,,6.529756546020508,,,,,,,,,,,
,-2.5523505210876465,21,,76.53379821777344,21,,0.7692307829856873,0.0,0.0,0.0,0.0,0.0,,,6.537745475769043,0.0,1.0,0.0,0.0,0.0,,6.537745475769043,,,,,,,,,,
-2.5523505210876465,,21,76.53379821777344,,21,0.7692307829856873,,,,,,,6.537745475769043,6.537745475769043,,,,,,,6.537745475769043,,,,,,,,,,,
,-2.5521039962768555,22,,76.51929473876953,22,,0.7692307829856873,0.0,0.0,0.0,0.0,1.0,,,6.359493732452393,1.0,0.0,0.0,0.0,0.0,,6.359493732452393,,,,,,,,,,
-2.5521039962768555,,22,76.51929473876953,,22,0.7692307829856873,,,,,,,6.359493732452393,6.359493732452393,,,,,,,6.359493732452393,,,,,,,,,,,
,-2.551816940307617,23,,76.44784545898438,23,,0.8461538553237915,1.0,0.0,0.0,1.0,0.0,,,6.2380852699279785,1.0,0.0,0.0,1.0,0.0,,6.2380852699279785,,,,,,,,,,
-2.5518171787261963,,23,76.44784545898438,,23,0.8461538553237915,,,,,,,6.2380852699279785,6.2380852699279785,,,,,,,6.2380852699279785,,,,,,,,,,,
,-2.551539659500122,24,,76.55979919433594,24,,0.8461538553237915,1.0,0.0,1.0,1.0,0.0,,,6.1820292472839355,0.0,0.0,1.0,1.0,0.0,,6.1820292472839355,,,,,,,,,,
,,24,,,24,,,,,,,,,,,,,,,,,,0.75,0.0,0.0,1.0,1.0,23.118896484375,0.0,0.0,1.0,0.0
-2.551539897918701,,24,76.55979919433594,,24,0.8461538553237915,,,,,,,6.1820292472839355,6.1820292472839355,,,,,,,6.1820292472839355,,,,,,,,,,,
,-2.551273822784424,25,,76.69979858398438,25,,0.8461538553237915,1.0,1.0,1.0,0.0,0.0,,,6.120798110961914,1.0,1.0,1.0,0.0,0.0,,6.120798110961914,,,,,,,,,,
-2.551273822784424,,25,76.69979858398438,,25,0.8461538553237915,,,,,,,6.120798110961914,6.120798110961914,,,,,,,6.120798110961914,,,,,,,,,,,
,-2.5510218143463135,26,,76.82378387451172,26,,0.8461538553237915,0.0,0.0,0.0,0.0,1.0,,,6.0511274337768555,0.0,0.0,0.0,0.0,1.0,,6.0511274337768555,,,,,,,,,,
-2.5510218143463135,,26,76.82378387451172,,26,0.8461538553237915,,,,,,,6.0511274337768555,6.0511274337768555,,,,,,,6.0511274337768555,,,,,,,,,,,
,-2.5507798194885254,27,,76.9308853149414,27,,0.8461538553237915,1.0,0.0,1.0,1.0,0.0,,,5.97355318069458,1.0,0.0,1.0,1.0,0.0,,5.97355318069458,,,,,,,,,,
